fator,valor,n,taxa_maligno,tabela,variant,label,intensidade_media,desvio
breast_density,0.0,2.0,1.0,fatores_clinicos,,,,
breast_density,1.0,536.0,0.3806,fatores_clinicos,,,,
breast_density,2.0,1373.0,0.4144,fatores_clinicos,,,,
breast_density,3.0,1102.0,0.4165,fatores_clinicos,,,,
breast_density,4.0,554.0,0.4025,fatores_clinicos,,,,
assessment,0.0,238.0,0.2479,fatores_clinicos,,,,
assessment,1.0,3.0,1.0,fatores_clinicos,,,,
assessment,2.0,643.0,0.0031,fatores_clinicos,,,,
assessment,3.0,477.0,0.2138,fatores_clinicos,,,,
assessment,4.0,1633.0,0.4476,fatores_clinicos,,,,
assessment,5.0,573.0,0.9773,fatores_clinicos,,,,
subtlety,0.0,2.0,0.0,fatores_clinicos,,,,
subtlety,1.0,174.0,0.5517,fatores_clinicos,,,,
subtlety,2.0,439.0,0.4715,fatores_clinicos,,,,
subtlety,3.0,963.0,0.3499,fatores_clinicos,,,,
subtlety,4.0,875.0,0.3611,fatores_clinicos,,,,
subtlety,5.0,1114.0,0.4497,fatores_clinicos,,,,
,,,,intensidade_media,patch,benign,114.23,33.49
,,,,intensidade_media,patch,malignant,128.9,30.77
,,,,intensidade_media,full,benign,49.9,16.89
,,,,intensidade_media,full,malignant,54.34,17.87
