,count,mean,std,min,25%,50%,75%,max
mean texture,569.0,19.289648506151142,4.301035768166949,9.71,16.17,18.84,21.8,39.28
mean smoothness,569.0,0.0963602811950791,0.01406412813767362,0.05263,0.08637,0.09587,0.1053,0.1634
mean compactness,569.0,0.10434098418277679,0.052812757932512194,0.01938,0.06492,0.09263,0.1304,0.3454
mean concave points,569.0,0.04891914586994728,0.038802844859153605,0.0,0.02031,0.0335,0.074,0.2012
mean symmetry,569.0,0.18116186291739894,0.027414281336035715,0.106,0.1619,0.1792,0.1957,0.304
mean fractal dimension,569.0,0.06279760984182776,0.007060362795084459,0.04996,0.0577,0.06154,0.06612,0.09744
radius error,569.0,0.40517205623901575,0.2773127329861039,0.1115,0.2324,0.3242,0.4789,2.873
texture error,569.0,1.2168534270650264,0.5516483926172023,0.3602,0.8339,1.108,1.474,4.885
smoothness error,569.0,0.007040978910369069,0.0030025179438390656,0.001713,0.005169,0.00638,0.008146,0.03113
compactness error,569.0,0.025478138840070295,0.017908179325677388,0.002252,0.01308,0.02045,0.03245,0.1354
concavity error,569.0,0.03189371634446397,0.03018606032298841,0.0,0.01509,0.02589,0.04205,0.396
concave points error,569.0,0.011796137082601054,0.006170285174046869,0.0,0.007638,0.01093,0.01471,0.05279
symmetry error,569.0,0.02054229876977153,0.008266371528798399,0.007882,0.01516,0.01873,0.02348,0.07895
fractal dimension error,569.0,0.0037949038664323374,0.002646070967089195,0.0008948,0.002248,0.003187,0.004558,0.02984
worst texture,569.0,25.677223198594024,6.146257623038319,12.02,21.08,25.41,29.72,49.54
worst perimeter,569.0,107.26121265377857,33.602542269036356,50.41,84.11,97.66,125.4,251.2
worst smoothness,569.0,0.13236859402460457,0.022832429404835465,0.07117,0.1166,0.1313,0.146,0.2226
worst compactness,569.0,0.25426504393673116,0.157336488913742,0.02729,0.1472,0.2119,0.3391,1.058
worst concavity,569.0,0.27218848330404216,0.2086242806081323,0.0,0.1145,0.2267,0.3829,1.252
worst concave points,569.0,0.11460622319859401,0.06573234119594207,0.0,0.06493,0.09993,0.1614,0.291
worst symmetry,569.0,0.2900755711775044,0.061867467537518685,0.1565,0.2504,0.2822,0.3179,0.6638
worst fractal dimension,569.0,0.0839458172231986,0.018061267348893986,0.05504,0.07146,0.08004,0.09208,0.2075
